시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
인천광역시,계양구,오류동,2024,48,7,2266,1733,3841,5221,10068,7758,12619,11968,7269,7663,6892,7004,6363,7978,5884,8952,6369,10422,6628,11015,6907,18346,8225,19745,8021,20321,7575,25431,5394,27804,3652,18501,2678,17917,2214,14699,1545,12189,691,5128,64,272,0,0,0,0
인천광역시,계양구,용종동,2024,151,40,10963,2038,24704,4807,49550,12231,45141,33235,26970,17619,23494,14598,22542,14466,21790,17853,22615,18846,18954,18324,25048,22686,34121,29535,24263,31656,23193,35105,18744,27085,16486,18096,16932,16372,13112,17162,7638,10317,415,2104,5,696,0,0,0,0
인천광역시,계양구,이화동,2024,0,0,0,0,4,20,2120,440,2372,222,712,157,847,291,525,340,416,301,576,474,104,142,335,561,393,381,296,304,298,159,102,151,37,80,1,3,42,88,0,0,0,0,0,0,0,0,0,0
인천광역시,계양구,임학동,2024,1391,2024,86835,17299,195150,49110,446749,112184,414899,215333,240335,144830,187286,124195,186938,134942,198798,151153,189281,165845,171422,165217,181471,201080,199309,240566,202950,307960,235857,438321,152121,341490,107806,212549,86624,188363,68485,155089,38635,101693,9705,48975,540,321,0,0,0,0
인천광역시,계양구,작전동,2024,17600,5562,292894,110859,550095,279268,1205968,567830,1198212,859085,684135,540541,576464,441760,595850,457351,634558,477981,591764,529916,536299,515519,616948,607846,702834,719208,765394,896168,816720,1196791,529441,920049,405614,598595,362135,536262,303107,465691,158199,294188,34869,97364,3964,12308,487,1299,995,4
인천광역시,계양구,장기동,2024,2540,172,23308,4383,46173,9058,89676,20169,95001,44793,55294,22613,42901,20571,41388,21857,39148,25596,37504,28502,36507,28524,36578,47276,43299,47156,38698,50837,38449,65974,22900,59636,17433,40790,15041,36570,12205,33520,7620,23069,1702,8413,231,1362,1,1,0,0
인천광역시,계양구,하야동,2024,0,0,46,263,149,1106,106,1023,257,2216,478,1265,488,703,522,594,597,658,523,642,687,537,906,605,680,635,855,671,1218,756,478,1036,573,406,792,364,164,301,36,141,4,15,0,0,0,0,0,0
인천광역시,계양구,효성동,2024,5980,474,101569,28830,215014,78198,441579,166971,421513,291864,236990,128612,196741,112717,189941,128034,198625,152501,196175,163680,180106,167490,228480,235580,221817,260265,257277,298357,250258,375250,139145,310822,101070,229135,75168,212438,60027,189657,23653,120012,2947,27487,44,323,10,37,0,0
인천광역시,남동구,간석동,2024,17859,7027,473028,193675,761003,366439,1655406,715654,1675785,1425524,1009605,757151,822701,656224,823813,712938,862538,860418,865988,914814,839868,829841,991525,926576,1123428,1087857,1144390,1319911,1271695,1688922,682877,1184083,526860,865191,459123,760029,346998,633433,167971,375017,34009,129859,426,7529,29,559,0,0
인천광역시,남동구,고잔동,2024,247,18,10711,26723,24861,181269,36815,558221,63375,540928,33452,86402,36086,45554,45330,41067,51953,53840,55038,46113,68749,39865,83189,36598,124488,36870,446282,55499,334662,65177,117458,62808,155139,44972,59143,24112,23647,15074,4297,8229,108,1318,5,37,0,1,1,0
