시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
경기도,용인시,하갈동,2023,111,0,3192,1283,15838,5542,23056,17837,24018,42876,16373,30056,17047,23832,21358,16325,22330,16938,22672,21595,26234,15748,27274,15423,33120,18230,36217,19637,26958,21854,18286,19636,14145,15755,12968,12736,11669,13157,4236,10402,1349,4809,277,1089,7,20,0,0
경기도,용인시,해곡동,2023,0,0,0,0,413,141,1332,336,2373,566,552,374,1200,483,852,552,991,1301,624,560,875,976,620,695,642,922,1011,845,387,1109,96,395,239,478,54,303,21,539,61,7,0,0,0,0,0,0,0,0
경기도,용인시,호동,2023,0,0,0,0,230,25,259,26,0,0,0,0,353,56,0,0,225,78,0,0,89,238,0,0,24,246,44,19,47,140,0,0,6,47,0,0,3,27,0,0,0,0,0,0,0,0,0,0
경기도,의왕시,고천동,2023,2806,1519,14486,13234,46085,48599,117428,109193,126503,216509,75614,91168,59548,62417,67657,60124,78073,66643,75381,66513,72392,65004,82900,74876,109429,89716,150461,106775,177041,129607,85173,101515,62480,70650,53413,60516,34902,50365,14891,27006,3474,8404,1637,3023,96,120,0,0
경기도,의왕시,내손동,2023,2525,528,23938,13842,101285,47117,233805,76185,271060,200666,161398,122158,138188,95003,133704,94072,147071,113403,140085,123709,136413,123703,197609,169937,225463,183738,183168,204538,149418,251322,95743,233369,75946,164317,63785,153545,51050,155374,21012,77077,2907,17437,206,1011,27,140,0,0
경기도,의왕시,삼동,2023,10470,547,99133,47565,234862,198471,552110,485396,572228,495338,277422,188053,208742,147678,198673,144757,211758,171273,193177,177116,193689,172995,225213,207042,318929,260119,438828,346434,425428,507950,229218,352626,168692,243966,133501,210802,98391,176928,34100,109234,2975,24004,156,3969,3,97,0,0
경기도,의왕시,오전동,2023,11757,936,59417,22639,180321,82400,392436,245299,459294,384134,260904,146512,208088,113099,195657,117022,205292,147419,208163,161974,187986,171193,220380,209361,246238,253777,303698,297148,308423,361730,195071,333580,121954,251195,99057,226007,66313,236997,28859,120389,4678,25945,1377,5426,10,17,0,0
경기도,의왕시,왕곡동,2023,3323,2400,29656,22947,88145,67891,162647,111131,200438,168198,155038,113804,104743,79718,94761,77163,102341,83813,95908,82438,88866,78399,99415,93386,118297,112714,147247,141351,159439,173619,128654,168423,87845,112263,77630,106831,64278,96329,34225,57301,11321,17914,2040,3077,301,815,87,231
경기도,의왕시,월암동,2023,907,8,3727,1457,4675,3216,12113,11157,12047,45654,6327,21074,5473,17933,6095,8504,5869,13189,5047,11934,5575,8223,7294,7726,8965,7411,13373,8846,17993,11140,4774,8525,3473,6155,2639,5297,2087,4934,164,3210,24,1877,15,860,0,46,0,0
경기도,의왕시,이동,2023,809,699,2007,4149,5480,17756,12288,73366,16652,73903,10095,22461,9245,9699,9003,8400,11305,10885,11514,8779,11377,7674,14625,9485,25255,12737,67513,14462,48493,15348,17617,11224,14137,9465,7556,8769,6822,7692,1849,3692,222,1075,30,434,2,10,0,0
경기도,의왕시,청계동,2023,7,76,20077,13883,67513,38739,134445,70365,144248,89401,115257,78803,89491,66366,79038,62099,93226,72306,91475,73526,86564,70395,101202,87879,110689,104592,103068,111183,97294,129670,78533,126170,68952,101988,62032,98284,49541,90028,22783,45854,906,2871,0,0,0,0,0,0
경기도,의왕시,초평동,2023,0,0,0,0,275,254,596,270,810,1025,1106,1199,835,852,850,972,813,777,568,658,522,580,1112,778,357,187,1065,543,601,333,128,304,120,148,34,185,13,185,0,0,0,0,0,0,0,0,0,0
경기도,의왕시,포일동,2023,206,5,17401,7986,90768,36503,221230,94336,238249,258854,153076,113905,123164,69535,110651,59769,114063,78262,111380,90279,108400,90782,130898,109720,133084,127162,158437,138476,222205,175767,95868,167972,65437,120545,55963,116824,40152,114569,15117,63622,1265,10505,0,0,0,0,0,0
경기도,의왕시,학의동,2023,1,0,4833,1214,30382,13768,65319,21881,58748,35811,39120,62111,29731,41108,25872,42173,28777,36602,30311,38485,34401,37201,45179,47144,47060,52010,50618,56286,49701,73531,38587,72460,45640,53077,60433,48220,12990,48572,3755,29770,643,2821,159,350,0,1,0,0
경기도,의정부시,가능동,2023,15520,1889,155573,49503,273414,110485,542318,253586,598009,610902,381296,309362,349793,235685,333143,238729,352031,258373,339928,283134,305066,263475,350157,322482,453148,381040,448428,450822,357572,530416,237093,459811,176055,331404,149237,279022,108110,241647,50237,146664,13057,53619,674,3015,111,249,34,76
경기도,의정부시,고산동,2023,665,259,21883,6493,55676,20661,105601,34616,99840,97359,63158,37813,50401,28103,47556,27625,49827,33329,49853,37270,51405,35098,56225,40978,62026,46550,59449,53625,46645,60745,27001,65723,19532,45232,17287,38445,14193,34753,5335,19804,1502,4914,247,405,0,0,0,0
경기도,의정부시,금오동,2023,11668,4359,50768,30149,131686,78450,267765,179375,312502,255558,235959,200511,216189,174090,212819,158169,209265,173900,192926,193501,207221,193394,239246,198527,243227,210045,273038,236018,236253,253950,151578,217111,117654,157966,111009,137581,100134,119410,33408,64620,12976,33699,3116,10706,1694,4118,483,226
경기도,의정부시,낙양동,2023,16891,743,44401,3528,104584,19850,223109,52351,288946,156212,149388,65048,128272,60744,113706,62265,113516,76479,111415,86682,107394,94554,123864,122907,147821,149559,132959,167955,115194,188844,78002,182731,59022,132540,47731,116347,40870,114686,15267,73156,6198,32144,1670,10660,200,2305,9,55
경기도,의정부시,녹양동,2023,4994,3820,79558,22010,131127,57508,290140,116242,288191,191098,176020,110290,155918,87194,146372,103234,153232,110990,145256,120824,134429,116954,141262,146646,156288,181878,175949,215150,181084,251186,109726,219957,82382,152491,70298,127690,51130,118292,21321,73879,6824,27140,858,833,250,478,108,212
경기도,의정부시,민락동,2023,14260,949,56047,4938,162253,36539,278270,90019,300582,284797,180659,154281,158016,139445,156544,140061,171098,156733,172849,175747,166996,180595,213829,216838,239868,260230,234324,299217,253433,305882,173377,309334,150824,218345,134332,178100,128128,166358,40210,110865,12238,47099,3001,11719,371,1976,3,18
경기도,의정부시,산곡동,2023,0,0,22177,2231,54451,11692,112789,17828,123173,35168,58857,22678,45844,20415,39629,23841,42011,31006,40214,37758,36555,44576,40316,51484,49860,62468,46304,73150,43507,88074,30078,108575,21602,73126,21424,58493,16484,56078,6144,35749,1890,11175,310,700,0,0,0,0
경기도,의정부시,신곡동,2023,46576,5160,211789,78029,490036,139148,931365,253869,1144509,624929,687904,368494,575497,344303,549451,371217,550042,428607,540033,454929,483387,470497,528534,565738,560174,668941,557730,810181,530425,897710,340263,817772,263006,584164,240721,501079,193949,471308,90045,290372,26824,120817,3763,26593,800,7985,11,106
경기도,의정부시,용현동,2023,27250,1794,77466,32421,179271,71930,369741,163975,494636,469063,310629,213452,256964,167787,244959,177049,266264,206545,255241,220188,225157,215148,262155,262129,293230,307527,326107,368591,341010,420406,174036,360123,124389,257004,104760,224952,92123,201579,43488,118900,9716,48495,1293,6941,0,2,1,0
