발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
37867,유성구,48108,0,63868,38102,22619,33727,1350,77813,40080,60543,13577,0,대전광역시,56456,2024,20618,0,63982,43624,3550,40648,0,45723,상대동,67030,18623,0,440,,,35206,17525,0,26515,61245,48214,15275,25796,45794,30921,50928,26048,0,35533,41881,47574,36353,57274,0,9118
1474,유성구,1514,0,1147,1276,1869,810,0,788,584,1485,30,0,대전광역시,765,2024,296,0,1348,695,58,713,0,180,성북동,1788,210,0,0,,,1469,150,0,65,1531,188,2,1477,969,875,504,1366,0,1576,1158,1496,1239,1300,0,863
1967,유성구,906,0,10,965,177,1707,0,530,1213,1224,9,0,대전광역시,417,2024,52,0,1346,312,0,638,0,226,세동,1912,101,0,0,,,562,35,0,128,1096,183,0,1677,772,24,1176,1603,0,525,1309,56,1153,1063,0,1263
79558,유성구,112192,0,87684,74848,44095,67449,1969,105246,80447,178921,23228,0,대전광역시,75576,2024,44393,0,88913,56075,16167,59684,0,45055,송강동,157282,65095,0,2329,,,75149,33761,4,56010,96030,52656,16140,46810,94009,45178,75468,44088,0,54700,80189,96384,54930,81395,0,19785
464,유성구,531,0,327,329,438,288,0,228,639,589,13,0,대전광역시,208,2024,62,0,469,154,0,419,0,67,송정동,521,358,0,0,,,418,14,0,141,472,146,12,635,242,358,347,415,0,381,390,440,393,303,0,292
89,유성구,68,0,70,221,151,5242,0,104,163,48,104,0,대전광역시,22,2024,267,0,85,31,0,107,0,31,신동,126,40,0,0,,,105,198,0,718,460,19,0,1263,3157,990,105,112,0,83,186,1275,202,237,0,204
6293,유성구,6002,0,8218,6213,2256,2873,8,8399,7609,12004,890,0,대전광역시,6052,2024,2470,0,5753,5554,567,3501,0,6107,신봉동,8417,2496,0,0,,,5647,1986,0,5751,7565,6613,2771,3161,12622,2652,5546,2016,0,2480,5861,9000,3731,4856,0,619
36055,유성구,49549,0,48745,41828,22638,49512,1429,62076,39879,50509,15649,0,대전광역시,42440,2024,23947,0,47481,35739,2873,28656,0,32707,신성동,67990,16861,0,1183,,,31616,19521,0,33359,50673,35650,7735,40287,59104,32953,34943,22658,0,28456,38973,54680,29668,49735,0,15809
1023,유성구,1192,0,772,1187,934,1133,10,623,1013,2209,79,0,대전광역시,505,2024,230,0,1222,346,168,796,0,301,안산동,1763,506,0,11,,,1004,150,0,381,990,398,137,1039,853,657,1179,827,0,603,1005,926,666,1086,0,175
12179,유성구,13206,0,26827,16375,14924,29790,357,27893,13899,7632,7665,0,대전광역시,18659,2024,11229,0,22374,15385,649,17967,0,16360,어은동,13701,3130,0,74,,,11464,10270,0,13132,17526,15939,3744,25082,22188,8353,20829,13921,0,19156,15537,19527,22966,20180,0,4452
401,유성구,391,0,754,480,880,806,31,392,614,473,210,0,대전광역시,262,2024,146,0,871,220,122,728,0,589,외삼동,548,98,0,0,,,513,121,0,349,658,359,162,1062,597,816,757,836,0,657,570,788,637,610,0,354
2190,유성구,1878,0,3167,3003,2260,2421,29,4720,2384,4796,721,0,대전광역시,3473,2024,1006,0,3916,2894,555,2670,0,2876,용계동,2684,1242,0,49,,,1890,756,0,1647,2917,3297,1016,1912,3735,1865,2848,2228,0,2618,2459,3156,2329,2141,0,1130
23136,유성구,26170,0,37677,31765,23996,66567,1170,39941,27414,44498,8701,0,대전광역시,29786,2024,32922,0,40649,22211,3164,29605,0,17277,용산동,43227,12540,0,433,,,20939,30677,0,37140,56019,20468,3795,32143,69564,50117,34825,25152,0,26057,28909,62769,25836,45351,0,17255
63958,유성구,75297,0,97186,66684,58683,85226,2394,106814,73703,101269,23834,1,대전광역시,81559,2024,40380,0,99057,55536,17568,67776,0,43940,원내동,109856,47504,0,869,,,63159,34870,126,50623,86277,57652,17359,63040,81996,55572,83359,54356,0,67364,73145,79976,70811,81634,0,27750
