시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
서울특별시,중구,을지로1가,2024,2667,5628,35726,56774,60708,412467,147748,1708551,239857,4316161,341713,2141441,420900,1191528,544181,1006552,606032,901771,745437,924037,863611,826564,1042751,804221,1254859,847845,2190641,958311,3472481,954323,1677230,611037,1614950,416429,1108053,351511,897569,281742,387682,160907,59204,55794,5469,12887,2595,1132,1733,817
서울특별시,중구,을지로2가,2024,4993,12416,12916,38251,28532,101016,77281,304706,114685,437414,81869,270305,72124,173085,84685,159473,77874,157000,87657,145658,92721,127691,103565,122800,102083,125793,153729,137517,207004,143198,128673,111526,113659,71923,112120,58509,101123,55054,65361,29148,28442,7958,8350,2176,4179,2324,2767,1392
서울특별시,중구,을지로3가,2024,2385,12801,26649,65520,53819,390336,134554,1321324,254590,3063804,332283,1276625,397889,621927,451265,553556,467765,528073,539585,576075,621602,518953,704352,524756,872068,608521,1691579,733983,2500664,847885,1070449,523705,821769,315268,863561,262071,740029,218117,422453,133337,84331,36786,9258,3111,5072,1837,2823,1266
서울특별시,중구,을지로4가,2024,3821,9274,16624,39663,32191,198946,77950,486337,158423,996547,178935,519200,215980,340669,257810,335809,270382,308393,296489,299112,331397,282812,378243,264658,450774,259055,781923,265740,846005,272501,381899,182005,245198,133098,211052,128669,150283,123366,76060,77233,19816,23792,3556,3071,2278,1946,1852,1568
서울특별시,중구,을지로5가,2024,630,133,3130,1514,3761,3424,6312,6298,11442,11897,10612,12486,13127,12789,15663,13973,16066,13815,17336,14064,20133,14425,21947,14324,24532,13752,26720,14061,25527,14813,15950,11148,10219,10462,9255,11671,7940,12696,6047,7984,3661,4752,1083,1699,695,667,467,381
서울특별시,중구,을지로6가,2024,20929,9792,27131,26254,15402,37463,26265,49738,37134,85220,42630,77125,53586,86057,71473,85229,85065,83654,96031,85976,114694,88788,133263,82612,139068,78956,140724,82389,122453,91177,100396,72893,85529,52740,84129,46447,69963,34959,44417,20915,25591,14270,26896,16032,19549,12585,18634,10201
서울특별시,중구,을지로7가,2024,48070,10493,193196,55900,122580,295765,218092,658722,359391,1422975,432533,960734,487190,879674,554240,848025,629026,837590,692247,855531,824988,864498,1004779,808423,1172297,775045,1484643,826059,1662341,908113,1043309,859287,851054,639012,810366,543829,676047,458723,367518,294508,110142,97777,49775,29379,36242,19203,36572,18051
서울특별시,중구,의주로1가,2024,4141,22184,19662,45578,24268,73496,45061,194583,78190,394034,61904,167996,53334,78135,68180,71224,68208,78776,75226,82008,94653,73559,129508,79659,160606,82663,253967,99801,370245,101411,165811,67108,133397,57149,126030,54355,105704,44511,57675,26068,18429,7798,2190,484,579,70,0,0
서울특별시,중구,인현동1가,2024,0,0,70,1698,136,1026,428,1661,395,2409,832,1878,1264,1818,1557,1654,1166,1685,1179,1825,1300,2005,1285,2130,1184,2390,1462,2721,1992,3107,1181,2817,957,1939,1421,2205,916,2382,1174,1661,328,288,0,0,0,0,0,0
서울특별시,중구,입정동,2024,0,0,46,32,482,593,366,221,957,290,936,351,1073,522,963,577,993,565,1304,646,1333,705,1592,766,1773,828,1906,1106,2561,1119,1919,891,1950,976,2097,743,2284,630,2059,566,2418,332,6,3,0,0,0,0
서울특별시,중구,장충동1가,2024,1767,2497,6259,11000,12276,20372,17603,30000,31260,79469,24822,59899,24294,45774,28418,46575,33815,45318,40373,47051,42033,42091,43914,42042,50789,46262,59902,55173,68965,58286,42158,39846,44722,31086,36746,27717,33179,25604,14386,13093,6440,5651,1919,3091,986,1993,876,2166
