발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
35620,세종시,46584,128,77672,49728,34425,102837,30284,94191,43364,62830,61022,9220,세종특별자치시,67610,2023,55107,0,68997,43311,5575,49638,,37399,보람동,74395,23168,,686,,,36805,64218,5112,58659,78013,40304,22537,48951,104167,30738,54709,36782,28,42220,47993,86922,48396,60112,0,10393
11833,세종시,13262,0,12842,12697,8072,13215,465,11063,13596,21612,2486,0,세종특별자치시,8710,2023,7190,0,11100,5737,382,7614,,3504,부강면,15883,9059,,41,,,12159,5041,0,8858,15328,5184,1615,11557,12850,8630,8561,7771,0,8920,12782,20562,8591,12103,0,3272
22,세종시,69,0,34,219,37,37,0,14,134,23,0,0,세종특별자치시,0,2023,14,0,106,11,0,146,,0,산울동,48,28,,0,,,0,3,0,0,238,1,0,116,17,85,2,1,0,294,3,75,0,1,0,397
18230,세종시,22086,0,45782,20854,13828,23098,2604,48982,22403,34915,16912,1,세종특별자치시,34531,2023,18557,0,39936,20551,47,24102,,17377,새롬동,44172,11654,,0,,,18860,17791,1,24186,32325,19578,5103,16663,29920,12544,30562,14990,0,20119,20880,31231,24585,26911,0,2652
896,세종시,904,1,2491,3093,2138,9688,332,2676,3638,587,1921,13,세종특별자치시,2535,2023,2995,0,2432,1513,0,3159,,804,세종동,1898,255,,0,,,1688,5087,20,2451,12517,817,296,3373,7775,3324,2722,2268,6,2403,2879,6308,3313,4816,0,1421
53391,세종시,72923,108,85305,55048,33274,84544,18530,108433,54187,105870,36501,5750,세종특별자치시,82265,2023,42523,0,75590,59228,9121,51703,,60714,소담동,135382,41910,,1439,,,49227,42268,8828,54770,83414,63267,36560,46338,87098,47777,64084,34572,53,42812,55449,83876,46366,69638,0,18674
6682,세종시,7305,0,5091,4215,3072,3702,27,4134,4611,12371,631,68,세종특별자치시,4309,2023,2001,0,5754,2601,811,3253,,950,소정면,8268,3661,,50,,,5978,1350,61,2471,5623,1666,142,3717,3599,3747,3282,3092,0,2901,7788,6798,3975,4954,0,2620
33229,세종시,37362,0,62196,39345,24632,46784,6058,72108,36389,54328,31156,335,세종특별자치시,50339,2023,31081,0,51914,33207,618,36991,,29209,아름동,78565,19614,,17,,,33329,30975,276,37313,53158,31376,12244,28709,63934,21115,41597,25530,0,29075,39077,56289,36708,46584,0,6348
93087,세종시,114292,403,145318,132319,98265,495443,45197,193277,110470,141034,89628,15145,세종특별자치시,126795,2023,144346,0,140512,101752,9541,111634,,80591,어진동,194568,57584,,2866,,,117651,138546,18304,178701,217624,90080,44547,170006,449336,159502,121799,108943,200,121301,120832,230443,115329,167674,0,58060
7401,세종시,10604,0,8573,6495,4180,6112,1029,8793,6541,9736,1401,179,세종특별자치시,7693,2023,2839,0,9124,7237,3004,4899,,4845,연기면,14185,9031,,404,,,5949,2565,465,3849,9665,7055,2609,5632,7792,3418,6236,4134,0,4186,6539,9588,4093,5292,0,2094
5168,세종시,6052,0,3967,4512,3402,10247,83,4390,4331,7509,466,0,세종특별자치시,4260,2023,3295,0,4855,2480,325,3442,,1162,연동면,9704,2575,,615,,,4183,1076,0,3982,4439,1981,310,3406,8014,6553,3917,2549,0,3609,4122,8403,2142,3608,0,2611
15535,세종시,20001,0,14767,11010,9844,10956,1005,15146,12330,22693,2263,304,세종특별자치시,13269,2023,5423,0,14314,10246,2138,10453,,8085,연서면,26101,8443,,691,,,10020,4302,984,8555,11526,10025,4173,7589,13405,7567,12746,9625,0,10609,10530,15883,6861,10430,0,3995
16755,세종시,19006,0,16163,18803,9317,14736,522,18483,17492,19778,6035,7,세종특별자치시,12430,2023,7020,0,14962,11191,671,12469,,19431,장군면,29678,7418,,11,,,20881,6373,464,9110,22269,19793,3286,10001,24398,7442,13617,10554,0,13113,14518,19278,9357,25454,0,1619
4878,세종시,8038,0,4403,5100,2588,5411,96,3038,3830,8587,675,2,세종특별자치시,3222,2023,2292,0,4378,2053,396,3588,,999,전동면,8159,3221,,2,,,4444,643,21,1845,4873,1209,609,2428,3518,7801,3959,2886,0,3898,4738,8667,3582,3969,0,1574
12685,세종시,13420,0,11532,10648,8553,8267,446,9349,12256,21374,1622,33,세종특별자치시,6132,2023,4616,0,7666,4689,757,7052,,2264,전의면,14375,3961,,353,,,9846,2685,192,7561,9858,3185,989,8899,11195,8240,8149,8238,0,8871,10750,15098,7269,10210,0,4517
